SNO,Question Content,Option A,Option B,Option C,Option D,Number of correct answer,Correct Answers
1,A developer is asked to write helper methods that create test data for unit tests. 01: public TestUtils { 02: 03: public static Account createAccount() { 04: Account act = new Account()05: // ...set some fields on act... 06: return act07: } 08: //...other methods... 09: } What should be changed in the TestUtils class so that its methods are only usable by unit test methods?,Add @IsTest above line 03.,Add @istest above line 01.,Change public to private on line 01.,Remove static from line 03.,1,B
2,Refer to the following Apex code: Integer x = 0do{ x = x + 1x++} while (x < 1)System.debug(x)What is the value of x when it is written to the debug log?,1,3,2,4,1,C
3,Which two actions may cause triggers to fire?,Cascading delete operations,Changing a user's default division when the transfer division option is checked,Renaming or replacing a picklist entry,Updates to FeedItem,2,"A, D"
4,A developer wants to import 500 Opportunity records into a sandbox. Why should the developer choose to use Data Loader instead of Data Import Wizard?,Data Loader automatically relates Opportunities to Accounts.,Data Loader runs from the developer's browser.,Data Import Wizard can not import all 500 records.,Data Import Wizard does not support Opportunities.,1,C
5,What are two characteristics related to formulas?,Formulas can reference themselves.,Formulas are calculated at runtime and are not stored in the database.,Fields that are used in a formula field can be deleted or edited without editing the,Formulas can reference values in related objects.,2,"B, D"
6,What should a developer use to fix a Lightning web component bug in a sandbox?,Force.com IDE,Execute Anonymous,Developer Console,VS Code,1,D
7,"Developers at Universal Containers (UC) use version control to share their code changes, but they notice that when they deploy their code to different environments they often have failures. They decide to set up Continuous Integration (CI). What should the UC development team use to automatically run tests as part of their CI process?",Force.com Toolkit,Salesforce CLI,Visual Studio Code,Developer Console,1,B
8,Which exception type cannot be caught?,A custom exception,LimitException,NoAccessException,CalloutException,1,B
9,A developer created a child Lightning web component nested inside a parent Lightning web component. The parent component needs to pass a string value to the child component. In which two ways can this be accomplished?,The parent component can invoke a public method in the child component.,The parent component can use a public property to pass the data to the child,The parent component can use the Apex controller class to send data to the child,The parent component can use a custom event to pass the data to the child,2,"A, B"
10,"Flow Builder uses an Apex action to provide additional information about multiple Contacts, stored in a custom 'ContactInfo'. Which is the correct definition of the Apex method that gets the additional information?",@InvocableMethod(label='Additional Info') public List<ContactInfo> getInfo(List<Id>,@InvocableMethod(label='Additional Info') public ContactInfo getInfo(Id contactId) {,@InvocableMethod(label='Additional Info') public static ContactInfo getInfo(Id,@InvocableMethod(label='Additional Info') public static List<ContactInfo>,1,D
11,"""When a user edits the Postal Code on an Account, a custom Account text field named """"Timezone"""" must be updated based on the values in a 'PostalCodeToTimezone_c' custom object. Which two automation tools can be used to implement this feature?""",Approval process,Quick actions,Fast Field Updates record-triggered flow,Account trigger,2,"C, D"
12,Which statement generates a list of Leads and Contacts that have a field with the phrase 'ACME'?,"List <sObject> searchList = [FIND 'ACME' IN ALL FIELDS RETURNING Contact, Lead]","Map <sObject> searchList = [FIND 'ACME' IN ALL FIELDS RETURNING Contact, Lead]","List<list <sObject>> searchList = [SELECT Name, ID FROM Contact, Lead WHERE","List<list <sObject>> searchList = [FIND 'ACME*' IN ALL FIELDS RETURNING Contact,",1,D
13,  6 Which scenario is valid for execution by unit tests?,Generate a Visualforce PDF with getContentAsPDF().,Execute anonymous Apex as a different user.,Set the created date of a record using a system method.,Load data from a remote site with a callout.,1,C
14,A developer is tasked with building a custom Lightning web component to collect Contact information. The form will be shared among many different types of users in the org. There are security requirements that only certain should be edited and viewed by certain groups of users. What should the developer use in their Lightning Web Component to support the security requirements?,aura-input-field,ui-input-field,lightning-input-field,forca-input-field,1,C
15,Universal Containers decides to use purely declarative development to build out a new Salesforce application. Which two options can be used to build out the business logic layer for this application?,Record-Triggered Flow,Batch Jobs,Validation Rules,Remote Actions,2,"A, C"
16,"A developer created these three Rollup Summary fields in the custom object, Project_c: Total_Timesheets_c, Total_Approved_Timesheets_c, Total_Rejected_Timesheet_c. The developer is asked to create a new field that shows the ratio between rejected and approved timesheets for a new field. Which should the developer use to implement the business requirement in order to minimize maintenance overhead?",Apex trigger,Roll-up summary field,Record-triggered flow,Formula field,1,D
10,A developer is asked to update code that requires them to validate input into a trigger. Which Apex Control Flow Statement should the developer use?,Conditional (If-Else) Statement,While Loop,Switch Statement,For Loop,1,A
11,A developer wants to send an outbound message when a record meets a specific criteria. Which two features satisfy this use case?,Flow Builder can be used to check the record criteria and send an outbound message.,Approval Process can be used to check the record criteria and send an outbound,Next Best Action can be used to check the record criteria and send an outbound,Entitlement Process can be used to check the record criteria and send an outbound,2,"A, B"
12,Which two events need to happen when deploying to a production org?,All Apex code must have at least 75% test coverage.,All custom objects must have visibility set to a value other than In Development.,All Visual flows must have at least 1% test coverage.,,2,"A, B"
13,"A company has a custom object, Sales_Help_Request__c, that has a Lookup relationship to Opportunity. The Sales_Help_Request__c has a number field, Number_of_Hours__c, that represents the amount of time spent on Sales_Help_Request__c. A developer is tasked with creating a field, Total_Hours__c, on Opportunity that should be the sum of all of the Number_of_Hours__c values for the Sales_Help_Request__c records related to that Opportunity. What should the developer use to implement this?",A roll-up summary field on the Sales_Help_Request__c object,A roll-up summary field on the Opportunity object,A record-triggered flow on the Sales_Help_Request__c object,A trigger on the Opportunity object,1,B
14,Which three Salesforce resources can be accessed from a Lightning web component?,Content asset files,SVG resources,All external libraries,Third-party web components,2,"A, B"
15,"Universal Containers hires a developer to build a custom search page to help users find the Accounts they want. Users will be able to search on Name, Description, and a custom comments field. Which consideration should the developer be aware of when deciding between SOQL and SOSL?",SOSL is able to return more records.,SOQL is able to return more records.,SOSL is faster for text searches.,SOQL is faster for text searches.,1,C
16,Universal Containers needs to create a custom user interface component that allows users to enter information about their accounts. The component should be able to validate the user input before saving the information to the database. What is the best technology to create this component?,Visualforce,Lightning Web Components,Flow,VUE JavaScript framework,1,B
17,"Refer to the code snippet below: import fetchOps from '@salesforce/apex/OpportunitySearch.fetchOpportunities'@wire(fetchOps) opportunitiesWhen a Lightning web component is rendered, a list of opportunities that match certain criteria should be retrieved from the database and displayed to the end-user.   10 Which three considerations must the developer implement to make the fetchOpportunities method available when Lightning web component?",The method must be annotated with the @AuraEnabled annotation.,The method must be annotated with the @InvocableMethod annotation.,The method cannot mutate the result set retrieved from the database.,The method must specify the (cacheable=true) attribute.,3,"A, C, D"
18,Which three resources in an Aura component can contain JavaScript functions?,Helper,Style,Design,Renderer,2,"A, D"
19,Where are two locations a developer can look to find information about the status of batch or future methods?,Apex Flex Queue,Apex Jobs,Paused Flow Interviews component,Developer Console,2,"B, D"
20,Which code statement includes an Apex method named updateAccounts in the class AccountController for use in a Lightning web component?,import updateAccounts from 'AccountController',import updateAccounts from '@salesforce/apex/AccountController.updateAccounts',import updateAccounts from '@salesforce/apex/AccountController',import updateAccounts from 'AccountController.updateAccounts',1,B
21,Universal Containers wants Opportunities to no longer be editable when it reaches the Closed/Won stage. Which two strategies can a developer use to accomplish this?,Use a validation rule.,Use an auto-response rule.,Use a before-save Apex trigger.,Use an automatically launched Approval Process.,2,"A, C"
22,What are two benefits of using declarative customizations over code?,Declarative customizations automatically generate test classes.,Declarative customizations automatically update with each Salesforce release.,Declarative customizations generally require less maintenance.,Declarative customizations cannot generate runtime errors.,2,"B, C"
23,A team of many developers work in their own individual orgs that have the same configuration as the production org. Which type of org is best suited for this scenario?,Partner Developer Edition,Developer Sandbox,Full Sandbox,Developer Edition,1,B
24,"A developer has an integer variable called maxAttempts. The developer needs to ensure that once maxAttempts is initialized, it preserves its value for the length of the Apex transactionwhile being able to share the variable's state between trigger executions. How should the developer declare maxAttempts to meet these requirements?",Declare maxAttempts as a private static variable on a helper class.,Declare maxAttempts as a member variable on the trigger definition.,,,1,A
25,"A developer needs to create a baseline set of data (Accounts, Contacts, Products, Assets) for an entire suite of Apex tests allowing them to test isolated requirements for various types of Salesforce cases. Which approach can efficiently generate the required data for each unit test?",Create a mock using the HttpCalloutMock interface.,Use @TestSetup with a void method.,Add @IsTest(seeAllData=true) at the start of the unit test class.,Create test data before Test.startTest() in the unit test.,1,B
26,What is one limitation of Agentforce's language support capabilities?,Language support for toxicity is the same as the supported languages.,Topic and action instructions are supported in multiple languages.,Language and tone settings impact the output of agent actions when specified.,Language support may differ by agent type.,1,D
27,"A developer is creating an app that contains multiple Lightning web components. One of the child components is used for navigation purposes. When a user clicks a button called Next in the child, the parent component must be alerted so it can navigate to the next page. How should this be accomplished?",Update a property on the parent.,Create a custom event.,Fire a notification.,Call a method in the Apex controller.,1,B
28,Which two settings must be defined in order to update a record of a junction object?,Read access on the primary relationship,Read/Write access on the primary relationship,Read/Write access on the secondary relationship,Read/Write access on the junction object,2,"B, D"
29,"A company has a custom object, Order_c, that has a required, unique external ID field called Order_Number_c. Which statement should be used to perform the DML necessary to insert new records and update existing records in a list of Order_c records using the external ID field?",upsert orders,merge orders,merge orders Order_Number_c,upsert orders Order_Number_c,1,D
30,Which annotation exposes an Apex class as a RESTful web service?,@AuraEnabled(cacheable=true),@RemoteAction,@HttpInvocable,@RestResource(urlMapping='/myService/**'),1,D
31,What can be used to override the Account's standard Edit button for Lightning Experience?,Lightning flow,Lightning page,Lightning action,Lightning component,1,C
32,What is a benefit of developing applications in a multi-tenant environment?,Unlimited processing power and memory,Enforced unit testing and code coverage best practices,Preconfigured storage for big data,Access to predefined computing resources,1,B
33,A developer must create a CreditCardPayment class that provides an implementation of an existing Payment class.   15 public virtual class Payment { public virtual void makePayment(Decimal amount) { /implementation/ } } Which is the correct implementation?,public class CreditCardPayment extends Payment {,public class CreditCardPayment implements Payment { public override void,,,1,A
34,A developer is using Agentforce Dev Assistant. Inline autocomplete is not available. What are two possible causes?,Auto Completions are toggled off.,Telemetry settings are misconfigured.,VSCode has been idle for 1 hour.,VSCode Inline Suggest is not enabled.,2,"A, D"
35,A developer is creating a Lightning web component to show a list of sales records. The Sales Representative user should be able to see the commission field on each record. The Sales Assistant user should be able to see all fields on the record except the commission field. How should this be enforced so that the component works for both users without showing any errors?,Use Security.stripInaccessible to remove fields inaccessible to the current user.,Use Lightning Data Service to get the collection of sales records.,Use WITH SECURITY_ENFORCED in the SOQL that fetches the data for the,Use Lightning Locker Service to enforce sharing rules and field-level security.,1,A
36,Which three statements are accurate about debug logs?,"Debug log levels are cumulative, where FINE log level includes all events logged at",System debug logs are retained for 24 hours.,Only the 20 most recent debug logs for a user are kept.,"Debug logs can be set for specific users, classes, and triggers.",3,"B, C, D"
37,What are three ways for a developer to execute tests in an org?,Tooling API,Salesforce DX,Metadata API,Setup Menu,3,"A, B, D"
38,What are two use cases for executing Anonymous Apex code?,To schedule an Apex class to run periodically,"To delete 15,000 inactive Accounts in a single transaction after a deployment",To run a batch Apex class to update all Contacts,To add unit test code coverage to an org,2,"B, C"
39,An Opportunity needs to have an amount rolled up from a custom object that is not in a master-detail relationship.   17 How can this be achieved?,Use the Metadata API to create real-time roll-up summaries.,Write a trigger on the child object and use an aggregate function to sum the amount,Write a trigger on the Opportunity object and use tree sorting to sum the amount for,Use the Streaming API to create real-time roll-up summaries.,1,B
40,"A developer created a trigger on the Account object. While testing the trigger, the developer sees the error message 'Maximum trigger depth exceeded'. What could be the possible causes?",The trigger is getting executed multiple times.,The trigger is too long and should be refactored into a helper class.,The trigger does not have sufficient code coverage.,The developer does not have the correct user permission.,1,A
41,"In the following example, which sharing context will myMethod execute when it is invoked? public class myClass { public void myMethod() { /* implementation */ } }",Sharing rules will be inherited from the calling context.,Sharing rules will be enforced for the running user.,Sharing rules will not be enforced for the running user.,Sharing rules will be enforced by the instantiating class.,1,A
42,"  18 Universal Containers wants to ensure that all new leads created in the system have a valid email address. They have already created a validation rule to enforce this requirement, but want to add an additional layer of validation using automation. What would be the best solution for this requirement?",Use a custom Lightning Web component to make a callout to validate the fields on a,Use a before-save Apex trigger on the Lead object to validate the email address and,Submit a REST API Callout with a JSON payload and validate the fields on a third,Use an Approval Process to enforce the completion of a valid email address using an,1,B
43,"While working in a sandbox, an Apex test fails when run in the Test Runner. However, executing the Apex logic in the Execute Anonymous window succeeds with no exceptions or errors. Why did the method fail in the sandbox test framework but succeed in the Developer Console?",The test method relies on existing data in the sandbox.,The test method has a syntax error in the code.,The test method is calling an @future method.,The test method does not use System.runAs to execute as a specific user.,1,A
44,A developer must perform a complex SQL query that joins two objects in a Lightning component. How can the Lightning component execute the query?,Create a flow to execute the query and invoke from the Lightning component.,Invoke an Apex class with the method annotated as @AuraEnabled to perform the,Write the query in a custom Lightning web component wrapper and invoke from the,Use the Salesforce Streaming API to perform the SQL query.,1,B
45,What will be the output in the debug log in the event of a QueryException during a call to the aQuery method if it is following example? public class myclass { class CustomException extends Exception {} public static Account aQuery() { Account theAccounttry { system.debug('Querying Accounts.')theAccount = [SELECT Id FROM Account WHERE CreatedDate > TODAY]} catch (CustomException ex) { system.debug('Custom Exception.')} catch (QueryException ex) { system.debug('Query Exception.')} finally { system.debug('Done.')} return theAccount},Querying Accounts. Custom Exception.,Querying Accounts. Custom Exception. Done.,Querying Accounts. Query Exception. Done.,Querying Accounts. Query Exception.,1,C
46,Which code displays the contents of a Visualforce page as a PDF?,"""<apex:page contentType=""""application/pdf"""">""","""<apex:page renderAs=""""pdf"""">""","""<apex:page renderAs=""""application/pdf"""">""","""<apex:page contentType=""""pdf"""">""",1,B
47,A developer created a trigger on the Account object and wants to test if the trigger is properly bulkified. The developer team decided that the trigger should be tested with 200 account records with unique names. What two things should be done to create the test data within the unit test with the least amount of code?,Create a static resource containing test data.,Use the @isTest(isParallel=true) annotation in the test class.,Use Test.loadData to populate data in your test methods.,Use the @isTest(seeAllData=true) annotation in the test class.,2,"A, C"
48,A Developer Edition org has five existing accounts. A developer wants to add 10 more accounts for testing purpose. The following code is executed in the Developer Console using the Execute Anonymous window: Account myAccount = new Account (Name = 'MyAccount')insert myAccount  21 Integer x = 1List<Account> newAccounts = new List<Account>()do{ Account acct = new Account (Name = 'New Account ' + x++)newAccounts.add(acct)} while (x < 10)How many total accounts will be in the org after this code is executed?,15,6,5,10,1,B
49,Universal Containers has a support process that allows users to request support from its engineering team using a custom Engineering_Support_c. Users should be able to associate multiple Engineering_Support_c records to a single Opportunity record. Additional aggregate information about the Engineering_Support_c records should be shown on the Opportunity record. Which relationship field should be implemented to support these requirements?,Lookup field from Engineering_Support_c to Opportunity,Master-detail field from Engineering_Support_c to Opportunity,Master-detail field from Opportunity to Engineering_Support_c,,1,B
51,For which three items can a trace flag be configured?,Flow,Apex Class,Visualforce,Apex Trigger,2,"B, D"
50,Which two operations affect the number of times a trigger can fire?,After-save record-triggered flow,Email messages,Roll-up summary fields,Criteria-based sharing calculations,2,"C, D"
51,Universal Containers has an order system that uses an Order Number to identify an order for customers and service agents. Order records will be imported into Salesforce. How should the Order Number field be defined in Salesforce?,Indirect Lookup,External ID and Unique,Lookup,Direct Lookup,1,B
52,"If Apex code executes inside the execute() method of an Apex class when implementing the Batchable interface, which two statements are true regarding governor limits?",The Apex governor limits are omitted while calling the constructor of the Apex class.,The Apex governor limits will use the asynchronous limit levels.,The Apex governor limits are reset for each iteration of the execute() method.,The Apex governor limits cannot be exceeded due to the asynchronous nature of the,2,"B, C"
53,"A custom picklist field, 'Food_Preference_c', exists on a custom object. The picklist contains the following options: 'Vegan', 'Kosher', 'No Preference'. The developer must ensure a value is populated every time a record is created or updated. What is the optimal way to ensure a value is selected every time a record is saved?",Mark the field as Required on the field definition.,Write an Apex trigger to ensure a value is selected.,"""Set """"Use the first value in the list as the default value"""" to True.""",Mark the field as Required on the object's page layout.,1,A
54,A developer needs to confirm that a Contact trigger works correctly without changing the organization's data. What should the developer do to test the Contact trigger?,Use Deploy from the VSCode IDE to deploy an 'insert Contact' Apex class.,Use the Open Execute Anonymous feature on the Developer Console to run an 'insert,Use the New button on the Salesforce Contacts Tab to create a new Contact record.,Use the Test menu on the Developer Console to run all test classes for the Contact,1,D
55,"Which Apex class contains methods to return the amount of resources that have been used for a particular governor, such as the number of DML statements?",Exception,Messaging,OrgLimits,Limits,1,D
56,Which action causes a before trigger to fire by default for Accounts?,Converting Leads to Contacts,Importing data using the Data Loader and the Bulk API,Renaming or replacing picklists,Updating addresses using the Mass Address update tool,1,B
57,"Management asked for opportunities to be automatically created for accounts with annual revenue greater than $1,000$. A developer created the following trigger on the Account object to satisfy this requirement. for (Account a: Trigger.new) { if (a.AnnualRevenue > 1000000) { List<Opportunity> oppList = [SELECT Id FROM Opportunity WHERE accountId = :a.Id]if(oppList.size() == 0) { Opportunity oppty = new Opportunity{Name = a.name, StageName = 'Prospecting', CloseDate = system.today ().addDays(30)}insert oppty} } } Users are able to update the account records via the UI and can see an opportunity created for high annual revenue account. However, when the administrator tries to upload a list of 179 accounts using Data Loader, it fails with System.Exception errors. Which two actions should the developer take to fix the code segment shown above?",Move the DML that saves opportunities outside the for loop.,Check if all the required fields for Opportunity are being added on creation.,Use Database.query to query the opportunities.,Query for existing opportunities outside the for loop.,2,"A, D"
58,"In terms of the MVC paradigm, what are two advantages of implementing the view layer of a Salesforce application using Lightning Web Component-based development over Visualforce?",Rich component ecosystem,Server-side run-time debugging,Self-contained and reusable units of an application,Automatic code generation,2,"A, C"
59,A developer has the following requirements: - Calculate the total amount on an Order. - Calculate the line amount for each Line Item based on quantity selected and price. - Move Line Items to a different Order if a Line Item is not in stock. Which relationship implementation supports these requirements on its own?,Line Item has a re-parentable lookup field to Order.,,,,1,A
60,The OrderHelper class is a utility class that contains business logic for processing orders. Consider the following code snippet: public class without sharing OrderHelper{ //code implementation } A developer needs to create a constant named DELIVERY_MULTIPLIER with a value of 4.15. The value of the constant should not change at any time in the code. How should the developer declare the DELIVERY_MULTIPLIER constant to meet   26 the business objectives?,static final decimal DELIVERY_MULTIPLIER = 4.15,decimal DELIVERY_MULTIPLIER = 4.15,static decimal DELIVERY_MULTIPLIER = 4.15,,1,A
61,A developer created a lightning web component called statusComponent to be inserted into the Account record page. Which two things should the developer do to make this component available?,Add <masterLabel>Account</masterLabel> to the statusComponent.js-meta.xml file.,Add <target>Lightning_RecordPage</target> to the statusComponent.js file.,Add <target>Lightning_RecordPage</target> to the statusComponent.js-meta.xml,Set isExposed to true in the statusComponent.js-meta.xml file.,2,"C, D"
62,A developer must create a DrawList class that provides capabilities defined in the Sortable and Drawable interfaces. public interface Sortable{ void sort()} public interface Drawable{ void draw()} Which is the correct implementation?,"public class DrawList implements Sortable, implements Drawable {","public class DrawList implements Sortable, Drawable {","public class DrawList extends Sortable, extends Drawable {",public class DrawList extends SortableSalesforce,1,B
63,A developer is alerted to an issue with a custom Apex trigger that is causing records to be duplicated. What is the most appropriate debugging approach to troubleshoot the issue?,Use the Apex Interactive Debugger to step through the code and identify the issue.,Review the Historical Event logs to identify the source of the issue.,Disable the trigger in production and test to see if the issue still occurs.,Add system.debug statements to the code to track the execution flow and identify,1,D
64,Which two characteristics are true for Lightning Web Component custom events?,Data may be passed in the payload of a custom event using a property called detail.,By default a custom event only propagates to its immediate container and to its,Data may be passed in the payload of a custom event using @wire decorated,By default a custom event only propagates to its immediate container.,2,"A, D"
65,"The following code snippet is executed by a Lightning web component in an environment with more than 2,000 lead records: @AuraEnabled public static void updateLeads() { for(lead thisLead : [SELECT Origin_c FROM Lead]) { thisLead.leadSource = thisLead.Origin_cupdate thisLead} } Which governor limit will likely be exceeded within the Apex transaction?",Total number of records processed as a result of DML statements,Total number of DML statements issued,Total number of records retrieved by SOQL queries,Total number of SOQL queries issued,1,B
66,"Assuming that name is a String obtained by an <apex:inputText> tag on a Visualforce page, which two SOQL queries performed are safe from SOQL injection?",String query = 'SELECT Id FROM Account WHERE Name LIKE '%' + name + '%'',String query = 'SELECT Id FROM Account WHERE Name LIKE '%' +,String query = '%' + name + '%',String query = 'SELECT Id FROM Account WHERE Name LIKE '%' + name.noQuotes(),2,"B, C"
67,"As part of new feature development, a developer is asked to build a responsive application capable of responding to touch events that will be executed on stateful clients. Which two technologies are built on a framework that fully supports the business requirement?",Visualforce Components,Lightning Web Components,Aura Components,Visualforce Pages,2,"B, C"
68,Universal Containers recently transitioned from Classic to Lightning Experience. One of its business processes requires certain values from the Opportunity object to be sent via an HTTP REST callout to its external order management system when the user presses a custom button on the Opportunity detail page. Example values are as follows: ฀ Name ฀ Amount ฀ Account Which two methods should the developer implement to fulfill the business requirement?,"Create a custom Visualforce quick action that performs the HTTP REST callout, and",Create a Remote Action on the Opportunity object that executes an Apex immediate,"Create a Lightning component quick action that performs the HTTP REST callout, and",Create an after update trigger on the Opportunity object that calls a helper method,2,"C, D"
69,"Given the following Apex statement: Account myAccount = [SELECT Id, Name FROM Account]What occurs when more than one Account is returned by the SOQL query?",An unhandled exception is thrown and the code terminates.,"The variable, myAccount, is automatically cast to the List data type.",The first Account returned is assigned to myAccount.,The query fails and an error is written to the debug log.,1,A
